,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
65,,,154566,0,0,0,0,0,4,,,0,Dominic,0.0,69,False,,,55,154566.jpg,1.5,Solanke,0.5,False,,a,3,91,15,0,0,0,0,0.0,0.0,Solanke,340,0,1,0,5,0,0,0,0,0,0,0,45,79.0,96.0,154.0,33.0
66,,,217331,0,0,0,0,0,4,,,0,Sam,0.0,71,False,,,45,217331.jpg,1.0,Surridge,1.9,False,,a,3,91,2,0,0,0,0,0.0,0.0,Surridge,11,0,0,0,0,0,0,0,0,0,0,0,3,5.0,11.8,23.0,4.0
67,,,40349,0,0,0,0,0,1,,,0,Asmir,0.0,72,False,,,45,40349.jpg,2.6,Begovic,3.4,False,,a,3,91,63,0,0,0,0,0.0,0.0,Begovic,2160,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0.0,0.0,44.2
68,,,18726,0,0,0,0,0,1,,,0,Artur,0.0,73,False,,,45,18726.jpg,3.8,Boruc,0.6,False,,a,3,91,46,0,0,0,0,0.0,0.0,Boruc,1080,0,0,4,18,0,0,0,2,0,39,4,218,302.0,0.0,0.0,30.3
69,,,229600,0,0,0,0,0,1,,,0,Mark,0.0,74,False,,,45,229600.jpg,4.5,Travers,0.4,False,,a,3,91,9,0,0,0,0,0.0,0.0,Travers,180,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0.0,0.0,6.8
70,,,90105,0,0,0,0,0,3,,,0,Ryan,0.0,75,False,,,75,90105.jpg,4.8,Fraser,20.6,False,,a,3,91,181,0,0,0,0,0.0,0.0,Fraser,3165,7,14,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696.0,301.2
71,0.0,,111317,0,0,0,0,0,3,,,0,David,0.0,76,False,Ankle injury - Expected back 26 Oct,2019-07-31T21:00:14.727782Z,65,111317.jpg,4.1,Brooks,2.8,False,,i,3,91,123,0,0,0,0,0.0,0.0,Brooks,2263,7,6,9,41,0,0,0,3,0,0,7,414,598.0,466.7,609.0,167.5
72,0.0,,56872,0,0,0,0,0,3,,,0,Junior,0.0,77,False,Knee injury - Unknown return date,2019-06-25T11:30:06.990995Z,60,56872.jpg,2.4,Stanislas,0.0,False,,i,3,91,56,0,0,0,0,0.0,0.0,Stanislas,1021,2,3,2,24,0,0,0,1,0,0,3,205,225.2,254.5,340.0,82.0
73,,,103912,0,0,0,0,0,3,,,0,Jordon,0.0,78,False,,,50,103912.jpg,1.7,Ibe,0.3,False,,a,3,91,33,0,0,0,0,0.0,0.0,Ibe,789,1,1,1,23,0,0,0,1,0,0,0,105,131.2,174.8,155.0,46.0
74,0.0,,155408,0,0,0,0,0,3,,,0,Lewis,0.0,79,False,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:07.007116Z,50,155408.jpg,1.7,Cook,0.0,False,,i,3,91,22,0,0,0,0,0.0,0.0,Lewis Cook,719,0,0,3,10,0,0,0,2,0,0,0,91,76.0,50.4,36.0,16.5
75,100.0,,15237,0,0,0,0,0,3,,,0,Andrew,0.0,80,False,,2019-06-25T11:30:07.022396Z,50,15237.jpg,2.0,Surman,0.1,False,,a,3,91,36,0,0,0,0,0.0,0.0,Surman,1438,0,0,4,37,0,0,0,2,0,0,0,206,190.8,163.0,38.0,39.2
76,0.0,,40387,0,0,0,0,0,3,,,0,Dan,0.0,81,False,Hip injury - Expected back 02 Nov,2019-07-30T10:30:13.907385Z,50,40387.jpg,2.2,Gosling,0.1,False,,i,3,91,54,0,0,0,0,0.0,0.0,Gosling,1734,2,2,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217.0,78.1
77,,,152551,0,0,0,0,0,3,,,0,Jefferson,0.0,82,False,,,50,152551.jpg,2.5,Lerma,0.2,False,,a,3,91,75,0,0,0,0,0.0,0.0,Lerma,2505,2,2,9,49,1,0,0,12,0,0,6,410,539.6,245.8,174.0,96.2
78,,,154131,0,0,0,0,0,2,,,0,Jack,0.0,446,False,,,45,154131.jpg,0.0,Stacey,0.2,False,,a,3,91,0,0,0,0,0,0.0,0.0,Stacey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
79,,,168991,0,0,0,0,0,3,,,0,Philip,0.0,476,False,,,50,168991.jpg,2.3,Billing,0.1,False,,a,3,91,63,0,0,0,0,0.0,0.0,Billing,2187,2,0,5,43,0,0,0,7,0,0,4,317,494.6,341.0,375.0,121.3
